Product name,Product Description,Original Price,Discounted Price,Price Change
ETRO,rear graphic-print double-breasted coat,35200,35200.0,0.0
Jacquemus,Le Cardigan Alzou cropped cardigan,2445,2445.0,0.0
sacai,deconstructed single-breasted blazer,12500,12500.0,0.0
Nanushka,Mardi rib-knit zipped cardigan,2310,1801.8,508.20000000000005
There Was One,high-waisted A-line miniskirt,1650,1287.0,363.0
Rejina Pyo,Sloane single-breasted blazer,4215,3287.7000000000003,927.2999999999997
Off-White,logo-embroidered hoodie dress,8450,6591.0,1859.0
Jacquemus,La Robe asymmetrical dress,4295,4295.0,0.0
AMI Paris,Ami De Coeur T-shirt,750,750.0,0.0
ZIMMERMANN,sweetheart-neck tulle minidress,4685,3654.3,1030.6999999999998
ZIMMERMANN,floral-print maxi dress,6370,4968.6,1401.3999999999996
Rick Owens,funnel high-neck puffer jacket,15705,15705.0,0.0
Rick Owens,high-neck puffer jacket,36095,36095.0,0.0
AMI Paris,Ami de Coeur cotton sweatshirt,1535,1535.0,0.0
GANNI,Bunny print T-shirt,600,468.0,132.0
The North Face,Himalayan down parka,1937,1510.8600000000001,426.1399999999999
ZIMMERMANN,Anneke panelled mini dress,4620,4620.0,0.0
ZIMMERMANN,abstract-print tiered midi dress,6775,5284.5,1490.5
AMI Paris,Ami De Coeur striped T-shirt,930,930.0,0.0
GANNI,intarsia-knit V-neck vest,1110,865.8000000000001,244.19999999999993
AMI Paris,Ami de Coeur T-shirt,575,575.0,0.0
Nanushka,cropped flared trousers,2225,1735.5,489.5
GANNI,smile-print cotton T-shirt,485,378.3,106.69999999999999
ZIMMERMANN,Anneke paisley-print mini dress,3510,2737.8,772.1999999999998
Thom Browne,check-pattern high-low skirt,6105,6105.0,0.0
Moncler,padded hooded jacket,15350,15350.0,0.0
ISOSCELES,backless ruffled crop top,1880,1466.4,413.5999999999999
AMI Paris,logo-print drawstring hoodie,1670,1670.0,0.0
AMI Paris,Ami De Coeur shirt,1200,1200.0,0.0
ZIMMERMANN,Lyre botanical-print dress,4890,3814.2000000000003,1075.7999999999997
Balmain,logo sweatshirt,2645,2645.0,0.0
GANNI,logo crew-neck T-shirt,510,397.8,112.19999999999999
Frankie Shop,Gelso Oversized single-breasted blazer,2075,1618.5,456.5
Balmain,logo-embroidered cropped T-shirt,1380,1380.0,0.0
Polo Ralph Lauren,Polo Bear cotton T-Shirt,740,577.2,162.79999999999995
GANNI,detachable-collar quilted jacket,2050,1599.0,451.0
ZIMMERMANN,Floral Swirl belted shorts,2470,1926.6000000000001,543.3999999999999
The North Face,Himalayan insulated jacket,1840,1435.2,404.79999999999995
Frankie Shop,Melody billowing shirt,635,495.3,139.7
GANNI,intarsia-logo knitted vest,1150,897.0,253.0
AMI Paris,France organic cotton T-shirt,895,895.0,0.0
Pleats Please Issey Miyake,plissé long-sleeve cardigan,2373,1850.94,522.06
ZIMMERMANN,Lyre floral-print blouse,2875,2242.5,632.5
Pleats Please Issey Miyake,pleated high neck top,2030,1583.4,446.5999999999999
GANNI,Rope knitted logo vest,1310,1021.8000000000001,288.19999999999993
Frankie Shop,Gelso tailored waistcoat,1937,1510.8600000000001,426.1399999999999
Saint Laurent Eyewear,New Wave SL 276 sunglasses,1915,1915.0,0.0
GANNI,Software embroidered logo hoodie,835,651.3000000000001,183.69999999999993
Thom Browne,RWB-armbands V-neck cardigan,12805,12805.0,0.0
Frankie Shop,Reya zip-ankle leggings,490,382.2,107.80000000000001
ISOSCELES,contrast-panel ruched mesh bodysuit,2460,1918.8,541.2
Frankie Shop,Lui oversized buttoned shirt,990,772.2,217.79999999999995
The North Face,Nuptse belted-waist parka coat,2935,2289.3,645.6999999999998
Alexander Wang,stretch corduroy track trousers,1675,1675.0,0.0
Polo Ralph Lauren,Polo Bear intarsia-knit jumper,3825,3825.0,0.0
Pleats Please Issey Miyake,long sleeve plissé top,2002,1561.56,440.44000000000005
Marine Serre,crescent moon print jersey top,1435,1435.0,0.0
Frankie Shop,Lui oversized shirt,1307,1019.46,287.53999999999996
Frankie Shop,Lui cotton shorts,520,405.6,114.39999999999998
GANNI,ruffled exaggerated collar blouse,800,800.0,0.0
Pleats Please Issey Miyake,high neck plissé top,1375,1072.5,302.5
GANNI,button-down cardigan,1540,1201.2,338.79999999999995
Frankie Shop,Lui oversized shirt,1307,1019.46,287.53999999999996
Frankie Shop,Uma cropped shirt,1315,1025.7,289.29999999999995
Jacquemus,Noue cropped cardigan,1745,1745.0,0.0
Frankie Shop,Lui buttoned shirt,1040,811.2,228.79999999999995
Jacquemus,off-shoulder ribbed-knit jumper,3605,3605.0,0.0
AMI Paris,embroidered-logo organic-cotton hoodie,1940,1940.0,0.0
ZIMMERMANN,Celestial lace-detailed mini dress,10240,10240.0,0.0
Frankie Shop,Bea pleated trousers,1540,1201.2,338.79999999999995
Frankie Shop,Melody oversized shirt,705,549.9,155.10000000000002
Frankie Shop,Hailey cotton cargo trousers,1910,1489.8,420.20000000000005
GANNI,logo-print organic cotton T-shirt,560,436.8,123.19999999999999
Frankie Shop,Bea loose-fit blazer,1895,1478.1000000000001,416.89999999999986
Frankie Shop,Lui high-waisted shorts,615,479.7,135.3
Frankie Shop,Bea single-breasted oversize blazer,2300,1794.0,506.0
ZIMMERMANN,Lyre graphic-print linen dress,4795,3740.1,1054.9
Frankie Shop,Audrey cargo mini skirt,1190,928.2,261.79999999999995
Frankie Shop,Bea tailored cropped trousers,1255,978.9,276.1
AMI Paris,logo-intarsia knit vest,1900,1900.0,0.0
AMI Paris,Ami de Coeur hoodie,2010,2010.0,0.0
Pleats Please Issey Miyake,pleated sleeveless high-neck top,1709,1333.02,375.98
Frankie Shop,Georgia oversized pinstripe shirt,1270,990.6,279.4
Reformation,floral-print square-neck tiered midi dress,2227,1737.0600000000002,489.9399999999998
Canada Goose,Minden hooded jacket,4900,4900.0,0.0
Kiki de Montparnasse,long-sleeve tulle top,1465,1142.7,322.29999999999995
GANNI,knitted intarsia-logo jumper,1810,1411.8,398.20000000000005
GANNI,logo-print cotton T-shirt,645,503.1,141.89999999999998
Frankie Shop,Gelso Oversized blazer,2720,2121.6,598.4000000000001
Frankie Shop,Bea pleated trousers,1275,994.5,280.5
