Product name,Product Description,Original Price,Discounted Price,Price Change
ANINE BING,logo-print long-sleeve sweatshirt,1470,1146.6000000000001,323.39999999999986
Reformation,A-line silk skirt,1162,906.36,255.64
KNWLS,October silk mini skirt,3120,2433.6,686.4000000000001
Kika Vargas,Adri ruffle-sleeve dress,4685,3654.3,1030.6999999999998
GANNI,seersucker-stripe wrap top,1090,850.2,239.79999999999995
Marine Serre,tartan sleeveless top,3720,3720.0,0.0
Marine Serre,Wee Tee cropped T-shirt,815,815.0,0.0
Canada Goose,Marlow hooded puffer jacket,9200,9200.0,0.0
Reformation,Isaac ruched asymmetric midi dress,2050,1599.0,451.0
Jacquemus,cropped knitted top,2310,2310.0,0.0
Reformation,square-neck sleeveless dress,2227,1737.0600000000002,489.9399999999998
Marine Serre,graphic-print long-sleeve top,2080,2080.0,0.0
SHUSHU/TONG,pleated raw-hem skirt,5043,3933.54,1109.46
The North Face,1996 Retro Nuptse padded gilet,2082,1623.96,458.03999999999996
Balmain,button-embellished ribbed cardigan,11270,11270.0,0.0
See by Chloé,logo floral print T-shirt,760,760.0,0.0
Reformation,Marcello high-neck jumper,1305,1017.9000000000001,287.0999999999999
Wolford,strapless maxi dress,910,910.0,0.0
Reformation,graphic-print midi dress,1162,906.36,255.64
Reformation,Karla stud-embellished bustier,1100,858.0,242.0
See by Chloé,lace-trim striped shirt,2005,2005.0,0.0
ANINE BING,Tiger garment-dyed sweatshirt,1310,1310.0,0.0
Danielle Guizio,Micro Mini fitted skirt,1211,944.58,266.41999999999996
SPANX,roll neck bodysuit,490,382.2,107.80000000000001
Marc Jacobs,'The T-Shirt' logo-print T-shirt,505,505.0,0.0
Frankie Shop,Carla stripe-print dress,1549,1208.22,340.78
Kika Vargas,V-neck puffball-hem dress,5181,4041.1800000000003,1139.8199999999997
Solace London,strapless maxi dress,3583,3583.0,0.0
SPANX,high-rise skinny trousers,960,748.8000000000001,211.19999999999993
Reformation,Aribella ruffled dress,2760,2152.8,607.1999999999998
GANNI,floral-print dress,1985,1548.3,436.70000000000005
Reformation,Hart V-neck cashmere jumper,1135,885.3000000000001,249.69999999999993
The North Face,Printed 1996 Retro Nuptse Down jacket,2760,2152.8,607.1999999999998
GANNI,leopard-print short-sleeve blouse,1000,780.0,220.0
Moschino,Teddy Bear round-neck T-shirt,1605,1605.0,0.0
We11done,teddy print long-sleeve T-shirt,2225,1735.5,489.5
Polo Ralph Lauren,V-neck button-up cardigan,1960,1528.8,431.20000000000005
Marine Serre,Regenerated moon straight-leg jeans,4795,4795.0,0.0
Issey Miyake,Doro pleated asymmetric midi dress,8415,6563.7,1851.3000000000002
Reformation,V-neck mini dress,1640,1279.2,360.79999999999995
Nanushka,Hathi single-breasted blazer,5580,5580.0,0.0
Reformation,Leith polka-dot print double-breasted mini dress,1505,1173.9,331.0999999999999
ZIMMERMANN,wrapped ruffle-trim dress,3685,2874.3,810.6999999999998
Marine Serre,Moon Diamant-print tailored trousers,5520,4305.6,1214.3999999999996
ROTATE,Iris logo sweatshirt,915,713.7,201.29999999999995
Kenzo,Tiger-print cotton T-shirt,990,772.2,217.79999999999995
Reformation,Pratt high-waisted skirt,1185,924.3000000000001,260.69999999999993
Isabel Marant,peplum-waist puff-sleeve top,4765,4765.0,0.0
Reformation,Poppies cut-out maxi dress,2905,2265.9,639.0999999999999
